Ime igralca;Minut/tekmo;Točke;Skoki;Podaje;FG%;FG3%;FT%
Chris Duarte;19,6;8,0;2,5;1,4;0,371;0,318;0,864
Chris Paul;32,0;13,9;4,3;8,9;0,44;0,375;0,831
Chris Silva;3,0;2,0;0,0;0,0;1,0;0,0;0,0
Christian Braun;16,2;5,1;2,6;1,0;0,464;0,308;0,61
Christian Koloko;14,5;3,5;3,0;0,6;0,455;0,176;0,611
Christian Terrell;5,0;0,0;0,0;0,0;0,0;0,0;0,0
Christian Vital;14,0;4,3;4,0;1,3;0,313;0,231;0,0
Christian Wood;25,9;16,6;7,3;1,8;0,515;0,376;0,772
Chuma Okeke;19,2;4,7;3,6;1,4;0,352;0,302;0,762
Clint Capela;26,6;12,0;11,0;0,9;0,653;0,0;0,603
Coby White;23,4;9,7;2,9;2,8;0,443;0,372;0,871
Cody Martin;19,1;5,0;3,4;1,6;0,389;0,214;0,571
Cody Zeller;14,4;6,5;4,3;0,7;0,627;0,0;0,686
Colbey Ross;15,7;6,2;2,2;2,6;0,458;0,375;0,6
Cole Anthony;25,9;13,0;4,8;3,9;0,454;0,364;0,894
Cole Swider;15,2;8,0;2,6;0,7;0,5;0,508;0,778
Collin Gillespie;28,2;11,3;5,3;4,3;0,395;0,28;0,8
Collin Sexton;23,9;14,3;2,2;2,9;0,506;0,393;0,819
Corey Kispert;28,3;11,1;2,8;1,2;0,497;0,424;0,852
Cory Joseph;19,8;6,9;1,7;3,5;0,427;0,389;0,792
Craig Randall II;20,5;7,3;3,3;1,0;0,306;0,261;0,333
Craig Sword;11,7;3,2;1,0;0,8;0,667;0,5;1,0
D'Angelo Russell;32,5;17,8;3,0;6,2;0,469;0,396;0,829
D'Shawn Schwartz;4,3;2,0;1,0;0,0;0,0;0,0;1,0
D,J, Funderburk;21,9;8,0;7,5;0,5;0,231;0,0;0,667
D,J, Wilson;25,7;10,5;5,3;1,5;0,395;0,333;1,0
DJ Steward;15,7;7,3;3,0;2,3;0,367;0,364;0,75
DJ Stewart;21,9;8,4;2,4;1,6;0,567;0,5;0,429
DaQuan Jeffries;21,7;8,2;4,2;1,4;0,483;0,462;1,0
Daeqwon Plowden;16,1;12,0;4,0;0,7;0,647;0,5;0,909
Daishen Nix;17,0;4,7;1,9;2,5;0,362;0,306;0,586
Dakota Mathias;14,6;4,8;3,5;1,7;0,435;0,25;1,0
Dalano Banton;11,3;5,9;1,9;1,5;0,435;0,328;0,762
Dalen Terry;7,6;3,3;1,3;0,8;0,486;0,294;0,744
Damian Jones;11,6;3,5;3,0;0,4;0,64;0,588;0,759
Damian Lillard;36,3;32,2;4,8;7,3;0,463;0,371;0,914
Damion Lee;20,4;8,2;3,0;1,3;0,442;0,445;0,904
Daniel Gafford;20,6;9,0;5,6;1,1;0,732;0,0;0,679
Daniel Oturu;18,3;10,0;4,0;0,0;1,0;0,0;0,0
Daniel Theis;15,5;7,0;3,1;1,3;0,477;0,182;0,417
Danny Green;12,6;5,5;1,3;0,5;0,449;0,432;1,0
Danuel House Jr,;14,4;4,8;1,7;0,8;0,472;0,336;0,75
Dario Šarić;14,1;6,4;3,6;1,3;0,458;0,391;0,829
Darius Bazley;14,3;5,2;3,2;0,9;0,454;0,377;0,543
Darius Days;6,2;3,8;1,5;0,3;0,417;0,3;1,0
Darius Days;21,8;13,7;10,0;0,3;0,556;0,375;1,0
Darius Garland;35,5;21,6;2,7;7,8;0,462;0,41;0,863
Darryl Morsell;15,7;5,0;3,3;1,0;0,348;0,3;0,25
David Collins;2,7;0,0;0,0;0,0;0,0;0,0;0,0
David DiLeo;17,7;6,7;2,0;1,0;0,316;0,235;1,0
David Duke Jr,;13,2;6,4;1,9;1,5;0,476;0,188;0,783
David Johnson;15,9;3,8;3,0;1,0;0,273;0,182;0,25
David McCormack;18,9;7,0;6,0;0,5;0,429;0,0;0,667
David Roddy;18,4;7,3;2,9;0,9;0,431;0,293;0,7
Davion Mintz;10,4;4,3;0,0;0,7;0,444;0,429;0,5
Davion Mitchell;18,1;5,6;1,3;2,3;0,454;0,32;0,806
Davon Reed;8,0;2,1;1,4;0,5;0,333;0,37;0,667
Day'Ron Sharpe;12,9;5,5;4,7;0,9;0,538;0,429;0,62
De'Aaron Fox;33,4;25,0;4,2;6,1;0,512;0,324;0,78
De'Andre Hunter;31,7;15,4;4,2;1,4;0,461;0,35;0,826
De'Anthony Melton;27,9;10,1;4,1;2,6;0,425;0,39;0,793
DeAndre Jordan;15,0;5,1;5,2;0,9;0,765;1,0;0,458
DeMar DeRozan;36,2;24,5;4,6;5,1;0,504;0,324;0,872
Dean Wade;20,3;4,7;3,4;0,8;0,412;0,354;0,652
Deandre Ayton;30,4;18,0;10,0;1,7;0,589;0,292;0,76
Deividas Sirvydis;22,5;15,5;5,3;1,0;0,457;0,419;0,778
Dejan Vasiljevic;8,3;5,0;0,8;0,6;0,409;0,368;0,0
Dejounte Murray;36,4;20,5;5,3;6,1;0,464;0,344;0,832
Delon Wright;24,4;7,4;3,6;3,9;0,474;0,345;0,867
Deni Avdija;26,6;9,2;6,4;2,8;0,437;0,297;0,739
Dennis Schröder;30,1;12,6;2,5;4,5;0,415;0,329;0,857
Dennis Smith Jr,;25,7;8,8;3,1;4,8;0,412;0,216;0,736
Deonte Burton;10,9;2,7;3,3;1,0;0,273;0,0;0,667
Deonte Burton;3,2;0,0;0,0;0,0;0,0;0,0;0,0
Dereon Seabron;10,4;4,5;1,9;1,2;0,425;0,5;0,875
Derrick Alston Jr,;22,5;9,0;2,6;0,2;0,441;0,211;0,647
Derrick Jones Jr,;14,0;5,0;2,4;0,5;0,5;0,338;0,738
Derrick Rose;12,5;5,6;1,5;1,7;0,384;0,302;0,917
Derrick White;28,3;12,4;3,6;3,9;0,462;0,381;0,875
Desmond Bane;31,7;21,5;5,0;4,4;0,479;0,408;0,883
Devin Booker;34,6;27,8;4,5;5,5;0,494;0,351;0,855
Devin Cannady;25,0;10,8;2,8;0,5;0,282;0,265;1,0
Devin Vassell;31,0;18,5;3,9;3,6;0,439;0,387;0,78
Devon Daniels;14,2;6,0;2,0;3,0;0,75;0,0;0,0
Devon Dotson;13,0;3,6;2,5;2,5;0,279;0,231;0,643
Devonte' Graham;18,3;7,4;1,7;2,7;0,374;0,352;0,748
Dewan Hernandez;20,1;8,4;5,2;1,4;0,6;0,0;0,632
Dewayne Dedmon;11,2;5,2;3,5;0,7;0,51;0,308;0,673
Didi Louzada;14,9;0,3;1,3;1,0;0,0;0,0;0,5
Dillon Brooks;30,3;14,3;3,3;2,6;0,396;0,326;0,779
Domantas Sabonis;34,6;19,1;12,3;7,3;0,615;0,373;0,742
Dominick Barlow;15,2;4,4;4,0;0,9;0,537;0,0;0,7
Donovan Mitchell;35,8;28,3;4,3;4,4;0,484;0,386;0,867
Donovan Williams;7,8;3,6;1,2;0,2;0,667;0,75;0,75
Donovan Williams;2,1;2,0;1,0;0,0;0,4;0,0;0,0
Donte DiVincenzo;26,3;9,4;4,5;3,5;0,435;0,397;0,817
Dorian Finney-Smith;30,4;8,3;4,8;1,5;0,391;0,337;0,763
Doug McDermott;20,5;10,2;2,2;1,4;0,457;0,413;0,757
Drake Jeffries;5,4;6,0;0,0;0,0;0,667;0,667;0,0
Draymond Green;31,5;8,5;7,2;6,8;0,527;0,305;0,713
Drew Eubanks;20,3;6,6;5,4;1,3;0,641;0,389;0,664
Dru Smith;10,6;2,9;1,6;1,5;0,4;0,263;1,0
Dru Smith;22,2;12,0;1,7;1,7;0,464;0,286;1,0
Duane Washington Jr,;12,7;7,9;1,2;2,0;0,367;0,36;0,667
Duane Washington Jr,;18,7;8,0;2,3;2,7;0,346;0,222;1,0
Duncan Robinson;16,4;6,4;1,6;1,1;0,371;0,328;0,906
Duop Reath;9,2;6,5;4,0;0,0;0,6;0,0;0,333
Dustin Sleva;14,0;3,8;2,5;1,3;0,6;0,25;1,0
Dusty Hannahs;11,5;2,5;1,0;1,0;0,4;0,5;0,0
Dwight Powell;19,2;6,7;4,1;0,9;0,732;0,0;0,667
Dylan Windler;3,5;1,7;0,0;0,3;0,667;0,5;0,0
Dyson Daniels;17,5;3,8;3,2;2,3;0,408;0,307;0,643
Dāvis Bertāns;10,9;4,6;1,2;0,5;0,431;0,39;0,867
E,J, Liddell;18,6;4,0;4,0;1,0;0,444;0,0;0,0
EJ Onu;8,5;2,0;1,6;0,4;0,8;1,0;0,333
Edmond Sumner;13,9;7,1;1,5;1,3;0,461;0,356;0,917
Eli Brooks;9,7;3,3;1,3;2,7;0,571;0,0;1,0
Elijah Brown;9,4;2,8;1,5;0,8;0,444;0,4;1,0
Elijah Stewart;28,2;12,7;3,7;4,3;0,378;0,3;0,667
Emanuel Terry;23,0;7,0;7,6;0,2;0,458;0,5;0,55
Eric Gordon;28,5;12,4;1,9;2,7;0,446;0,371;0,821
Eron Gordon;4,2;0,0;0,0;0,0;0,0;0,0;0,0
Ethan Thompson;12,9;6,8;2,0;1,0;0,524;0,364;0,615
Eugene Omoruyi;16,1;7,0;2,8;0,7;0,443;0,281;0,68
Eugene Omoruyi;16,1;8,2;2,8;0,5;0,472;0,125;0,778
Evan Fournier;17,0;6,1;1,8;1,3;0,337;0,307;0,857
Evan Mobley;34,4;16,2;9,0;2,8;0,554;0,216;0,674
Evans Ganapamo;2,8;0,0;0,0;0,0;0,0;0,0;0,0
Fabian White Jr,;12,2;3,6;4,4;0,2;0,438;0,333;1,0
Facundo Campazzo;6,5;1,3;0,3;1,1;0,231;0,273;0,5
Fanbo Zeng;10,1;5,0;1,0;0,0;0,556;0,4;0,727
Feron Hunt;28,6;11,4;4,0;2,4;0,489;0,273;0,667
Filip Petrusev;12,0;5,5;2,3;1,0;0,533;0,333;1,0
Frank Jackson;5,1;0,0;2,0;1,0;0,0;0,0;0,0
Frank Kaminsky;6,5;2,5;1,4;0,9;0,492;0,394;0,875
Frank Ntilikina;12,9;2,9;1,3;1,2;0,364;0,254;0,667
Frankie Ferrari;24,9;6,7;3,8;5,5;0,333;0,25;1,0
Franz Wagner;32,6;18,6;4,1;3,5;0,485;0,361;0,842
Fred Sims Jr,;2,5;2,0;0,0;0,0;0,4;0,5;0,0
Fred VanVleet;36,7;19,3;4,1;7,2;0,393;0,342;0,898
Furkan Korkmaz;9,6;3,8;1,1;0,6;0,432;0,391;0,722
Gabe Brown;18,4;8,8;3,0;0,6;0,4;0,345;1,0
Gabe Vincent;25,9;9,4;2,1;2,5;0,402;0,334;0,872
Gabe York;16,5;6,5;1,8;2,0;0,37;0,35;1,0
Gabriel Chachashvili;15,1;3,8;3,0;0,3;0,4;0,2;0,545
Garrett Temple;6,5;2,0;0,7;0,5;0,4;0,423;0,75
Garrison Brooks;2,9;0,0;1,5;0,0;0,0;0,0;0,0
Garrison Mathews;12,7;4,8;1,4;0,5;0,363;0,35;0,906
Gary Harris;24,7;8,3;2,0;1,2;0,45;0,431;0,9
Gary Payton II;16,7;4,6;3,1;1,4;0,594;0,5;0,857
Gary Trent Jr,;32,1;17,4;2,6;1,6;0,433;0,369;0,839
George Conditt IV;9,8;2,5;3,0;0,5;0,667;0,0;1,0
George Hill;18,1;5,0;1,8;2,4;0,47;0,358;0,764
George King;11,4;2,0;2,0;0,7;0,2;0,222;0,0
Georges Niang;19,4;8,2;2,4;1,0;0,442;0,401;0,867
Giannis Antetokounmpo;32,1;31,1;11,8;5,7;0,553;0,275;0,645
Goga Bitadze;12,0;4,4;3,6;1,0;0,552;0,231;0,548
Goran Dragic;15,0;6,3;1,4;2,6;0,421;0,359;0,689
Gordon Hayward;31,5;14,7;4,3;4,1;0,475;0,325;0,811
Gorgui Dieng;11,6;3,9;3,5;1,7;0,385;0,28;0,769
Grant Golden;9,3;3,0;3,5;0,5;0,4;0,0;0,0
Grant Riller;11,6;8,0;1,0;2,0;0,488;0,333;0,786
Grant Williams;25,9;8,1;4,6;1,7;0,454;0,395;0,77
Grayson Allen;27,4;10,4;3,3;2,3;0,44;0,399;0,905
Greg Brown III;8,3;2,8;1,9;0,3;0,477;0,111;0,52
Greg Malinowski;15,8;8,0;0,0;1,0;0,667;0,667;0,5
Gui Santos;21,9;10,9;3,3;1,6;0,463;0,381;0,621
Guo Haowen;9,2;5,0;0,5;1,0;0,6;1,0;0,375
Hamidou Diallo;17,8;9,3;3,5;1,0;0,573;0,238;0,588
Harrison Barnes;32,5;15,0;4,5;1,6;0,473;0,374;0,847
Haywood Highsmith;19,2;5,2;3,9;0,9;0,436;0,326;0,523
Henri Drell;14,7;5,0;2,3;1,0;0,4;0,182;0,667
Herbert Jones;29,6;9,8;4,1;2,5;0,469;0,335;0,764
Hugo Besson;11,4;2,5;2,3;0,3;0,188;0,167;1,0
Immanuel Quickley;28,9;14,9;4,2;3,4;0,448;0,37;0,819
Isaac Okoro;21,7;6,4;2,5;1,1;0,494;0,363;0,757
Isaiah Brown;7,2;0,0;0,5;0,0;0,0;0,0;0,0
Isaiah Hartenstein;19,9;5,0;6,5;1,2;0,535;0,216;0,676
Isaiah Jackson;16,8;7,3;4,7;0,8;0,561;0,188;0,645
Isaiah Joe;19,1;9,5;2,4;1,2;0,441;0,409;0,82
Isaiah Joe;23,9;15,8;3,0;2,4;0,491;0,526;0,625
Isaiah Livers;23,3;6,9;2,8;0,8;0,418;0,366;0,813
Isaiah Miller;15,6;3,5;2,8;2,5;0,368;0,0;0,0
Isaiah Mobley;12,7;4,4;3,5;1,1;0,367;0,208;0,667
Isaiah Roby;11,3;4,1;2,6;0,9;0,432;0,3;0,488
Isaiah Stewart;28,3;11,4;8,1;1,4;0,448;0,336;0,742
Isaiah Todd;16,5;4,9;2,6;0,5;0,294;0,256;0,75
Ish Smith;9,3;2,5;1,3;2,3;0,397;0,167;0,5
Ish Wainright;15,9;4,7;2,4;1,0;0,377;0,342;0,841
Isiah Brown;5,5;4,0;2,0;0,5;0,5;1,0;0,5
Ismael Kamagate;19,3;5,4;5,0;0,4;0,8;0,0;1,0
Iverson Molinar;13,1;5,5;1,5;1,0;0,714;0,0;0,5
Ivica Zubac;28,5;10,8;9,9;1,0;0,634;0,0;0,697
JD Davison;5,5;1,6;0,8;0,9;0,421;0,286;0,5
JD Davison;30,3;13,0;4,8;8,2;0,434;0,467;0,857
JD Notae;11,5;3,0;1,5;1,0;0,25;0,25;0,25
JT Thor;14,8;4,4;2,3;0,6;0,402;0,324;0,671
Ja Morant;31,9;26,2;5,9;8,1;0,466;0,307;0,748
JaMychal Green;14,0;6,4;3,6;0,9;0,54;0,378;0,776
JaVale McGee;8,4;4,4;2,5;0,3;0,64;0,4;0,585
Jabari Smith Jr,;30,9;12,9;7,3;1,3;0,406;0,304;0,785
Jabari Walker;12,0;4,6;2,9;0,7;0,451;0,314;0,767
Jack White;6,9;2,7;2,4;0,4;0,571;0,385;0,636
Jacob Gilyard;11,3;2,7;1,0;0,3;0,375;0,286;0,0
Jacob Gilyard;16,5;1,7;2,3;2,3;0,2;0,0;0,5
Jacob Gilyard;40,8;3,0;4,0;7,0;0,333;0,333;0,0
Jaden Hardy;16,1;9,3;2,1;1,5;0,422;0,385;0,794
Jaden Ivey;30,8;16,3;3,9;5,2;0,417;0,346;0,755
Jaden McDaniels;30,6;12,1;3,9;1,9;0,517;0,398;0,736
Jaden Shackelford;12,6;6,8;1,5;0,5;0,36;0,353;1,0
Jaden Springer;10,1;4,3;1,4;0,9;0,38;0,176;0,697
Jae Crowder;18,9;6,9;3,8;1,5;0,479;0,436;0,833
Jae'Sean Tate;21,9;9,1;3,8;2,7;0,48;0,283;0,725
Jahvon Blair;3,3;2,5;0,0;0,0;0,333;0,333;0,5
Jai Smith;1,1;0,0;0,0;0,0;0,0;0,0;0,0
Jaime Echenique;18,8;10,4;6,4;0,8;0,533;0,0;0,769
Jaire Grayer;11,0;2,0;3,7;1,7;0,111;0,167;0,5
Jake LaRavia;13,7;3,3;2,0;0,8;0,384;0,33;0,727
Jakob Poeltl;26,5;12,5;9,1;2,7;0,629;0,0;0,592
Jalen Adaway;11,4;3,3;2,3;0,5;0,444;0,0;1,0
Jalen Brunson;35,0;24,0;3,5;6,2;0,491;0,416;0,829
Jalen Crutcher;26,5;6,6;4,0;5,0;0,324;0,235;0,833
Jalen Duren;24,7;9,2;8,6;1,2;0,648;0,0;0,619
Jalen Green;34,2;22,1;3,7;3,7;0,416;0,338;0,786
Jalen Johnson;14,9;5,6;4,0;1,2;0,491;0,288;0,628
Jalen Lecque;10,4;3,6;1,6;0,6;0,333;0,0;0,5
Jalen McDaniels;23,9;9,4;4,3;1,6;0,455;0,332;0,841
Jalen Smith;18,8;9,4;5,8;1,0;0,476;0,283;0,759
Jalen Suggs;23,5;9,9;3,0;2,9;0,419;0,327;0,723
Jalen Williams;29,9;13,9;4,4;3,2;0,52;0,358;0,774
Jamal Cain;14,6;6,0;3,6;0,7;0,533;0,28;0,733
Jamal Murray;32,8;20,0;4,0;6,2;0,454;0,398;0,833
Jamaree Bouyea;23,3;6,1;3,9;3,1;0,283;0,167;0,667
Jamaree Bouyea;14,1;3,0;1,2;0,8;0,429;0,333;0,5
James Akinjo;16,3;3,7;3,3;4,7;0,13;0,286;1,0
James Bouknight;15,2;5,6;2,1;1,2;0,358;0,303;0,667
James Harden;36,8;21,0;6,1;10,7;0,441;0,385;0,867
James Johnson;9,0;2,8;1,7;0,8;0,449;0,2;0,5
James Palmer Jr,;22,5;8,8;3,7;1,3;0,304;0,345;0,6
James Wiseman;19,3;10,0;5,9;0,7;0,558;0,2;0,701
James Wiseman;19,9;10,5;5,5;1,3;0,486;0,333;0,545
Jamorko Pickett;14,3;5,0;2,0;1,3;0,389;0,308;0,5
Jared Butler;26,6;13,8;3,5;6,7;0,319;0,214;0,611
Jared Butler;12,8;6,2;0,7;1,3;0,469;0,5;0,0
