Ime igralca;Minut/tekmo;Točke;Skoki;Podaje;FG%;FG3%;FT%
Sindarius Thornwell;19,3;5,8;2,0;1,4;0,526;0,545;1,0
Skylar Mays;31,5;15,3;3,2;8,3;0,5;0,462;0,923
Spencer Dinwiddie;34,5;17,3;3,4;6,5;0,438;0,369;0,812
Stanley Johnson;15,6;5,8;3,2;2,2;0,533;0,45;0,667
Stanley Umude;15,3;9,0;2,0;1,0;0,467;0,421;0,9
Stephen Curry;34,7;29,4;6,1;6,3;0,493;0,427;0,915
Sterling Brown;6,1;0,0;2,0;0,5;0,0;0,0;0,0
Steven Adams;27,0;8,6;11,5;2,3;0,597;0,0;0,364
Svi Mykhailiuk;14,6;6,9;1,7;1,7;0,445;0,424;0,667
Sylvain Francisco;10,3;4,5;2,0;2,5;0,25;0,333;0,75
T,J, McConnell;20,4;8,7;3,1;5,3;0,543;0,441;0,853
T,J, Warren;16,4;7,5;2,9;1,0;0,489;0,328;0,8
TJ Starks;16,0;7,0;0,0;0,0;0,667;0,0;0,75
Tacko Fall;13,8;6,5;7,8;1,0;0,526;0,0;0,5
Tahjere McCall;15,6;8,0;2,3;1,0;0,8;0,5;0,636
Taj Gibson;9,8;3,4;1,9;0,7;0,52;0,333;0,714
Talen Horton-Tucker;20,2;10,7;3,2;3,8;0,419;0,286;0,75
Tamenang Choh;8,0;2,5;1,5;0,5;1,0;0,0;0,333
Tari Eason;21,9;9,7;6,3;1,1;0,448;0,342;0,755
Taurean Prince;22,1;9,1;2,4;1,6;0,467;0,381;0,844
Taze Moore;7,9;1,3;0,8;0,8;0,5;0,333;0,0
Teddy Allen;13,9;3,5;3,0;0,5;0,143;0,0;0,714
Terance Mann;23,1;8,8;3,4;2,3;0,519;0,389;0,78
Terence Davis;13,1;6,7;2,2;1,0;0,423;0,366;0,791
Terrell Brown Jr,;16,6;10,0;1,7;1,0;0,455;0,429;0,636
Terrence Ross;21,1;8,3;2,4;1,5;0,43;0,368;0,794
Terry Rozier;35,3;21,1;4,1;5,1;0,415;0,327;0,809
Terry Taylor;8,5;2,9;1,5;0,3;0,52;0,263;0,545
Terry Taylor;25,2;13,7;7,7;1,0;0,571;1,0;0,727
Tevin Brown;10,3;4,0;1,0;0,5;0,333;0,25;0,0
Thaddeus Young;14,7;4,4;3,1;1,4;0,545;0,176;0,692
Thanasis Antetokounmpo;5,6;1,4;1,2;0,4;0,435;0,0;0,5
Theo Maledon;19,4;6,7;2,8;3,5;0,402;0,295;0,851
Theo Pinson;8,1;2,4;1,6;1,2;0,356;0,355;0,846
Thomas Bryant;18,3;9,8;5,7;0,5;0,623;0,441;0,738
Tim Hardaway Jr,;30,3;14,4;3,5;1,8;0,401;0,385;0,77
Timothy Soares;6,8;4,5;1,0;0,0;0,667;0,333;0,0
Tobias Harris;32,9;14,7;5,7;2,5;0,501;0,389;0,876
Tommy Kuhse;23,2;17,3;2,0;3,3;0,583;0,4;1,0
Tony Bradley;2,8;1,6;0,9;0,1;0,5;0,6;1,0
Torrey Craig;24,7;7,4;5,4;1,5;0,456;0,395;0,711
Trae Young;34,8;26,2;3,0;10,2;0,429;0,335;0,886
Tre Jones;29,2;12,9;3,6;6,6;0,459;0,285;0,86
Tre Mann;18,2;7,9;2,5;1,9;0,383;0,309;0,783
Tremont Waters;19,9;9,8;2,3;3,8;0,462;0,286;0,917
Trendon Watford;19,8;7,9;4,1;2,1;0,539;0,363;0,717
Trent Forrest;12,0;2,3;1,6;1,7;0,417;0,0;0,667
Trevelin Queen;24,0;12,0;4,4;3,1;0,333;0,25;0,95
Trevelin Queen;10,0;3,0;2,4;0,9;0,241;0,133;1,0
Trevion Williams;14,2;7,4;6,6;1,8;0,457;0,25;0,8
Trevor Hudgins;12,5;3,6;0,7;1,1;0,27;0,281;1,0
Trevor Keels;17,2;4,0;3,1;1,6;0,255;0,208;0,6
Trey Lyles;16,9;7,6;4,1;0,9;0,458;0,363;0,815
Trey McGowens;3,9;0,0;0,5;0,5;0,0;0,0;0,0
Trey Murphy III;31,0;14,8;3,6;1,4;0,484;0,402;0,903
Trey Porter;10,1;3,3;1,3;1,0;0,833;0,0;0,0
Trhae Mitchell;18,8;2,6;2,4;1,4;0,357;0,125;0,5
Troy Brown Jr,;24,5;7,1;4,1;1,3;0,43;0,381;0,872
Ty Jerome;18,1;6,9;1,7;3,0;0,488;0,389;0,927
Ty-Shon Alexander;21,8;8,0;2,4;2,0;0,298;0,25;0,833
TyTy Washington Jr,;15,7;5,3;1,8;1,8;0,365;0,25;0,577
Tyler Bey;14,2;4,8;3,2;0,2;0,538;0,2;0,818
Tyler Dorsey;2,8;3,0;0,7;0,0;0,8;0,5;0,0
Tyler Hall;16,1;9,7;1,7;1,0;0,474;0,444;0,75
Tyler Herro;34,9;20,1;5,4;4,2;0,439;0,378;0,934
Tyrese Haliburton;33,6;20,7;3,7;10,4;0,49;0,4;0,871
Tyrese Martin;9,1;4,3;1,4;0,6;0,438;0,24;0,737
Tyrese Maxey;33,6;20,3;2,9;3,5;0,481;0,434;0,845
Tyrique Jones;20,8;7,4;10,2;2,6;0,577;0,0;0,636
Tyson Carter;17,9;10,4;4,0;1,4;0,452;0,45;0,833
Tyson Etienne;16,7;10,2;1,6;0,6;0,395;0,37;0,778
Tyus Jones;24,2;10,3;2,5;5,2;0,438;0,371;0,806
Udoka Azubuike;10,0;3,5;3,3;0,3;0,819;0,0;0,35
Udonis Haslem;10,3;3,9;1,6;0,0;0,345;0,333;0,8
Usman Garuba;12,9;3,0;4,1;0,9;0,486;0,407;0,617
Vernon Carey Jr,;2,6;0,5;1,0;0,3;0,25;0,0;1,0
Vernon Carey Jr,;18,0;11,0;6,3;0,3;0,571;0,0;0,9
Vic Law;16,9;3,3;3,7;0,3;0,176;0,4;0,286
Victor Oladipo;26,3;10,7;3,0;3,5;0,397;0,33;0,747
Vince Williams Jr,;11,1;2,7;1,5;0,6;0,329;0,208;0,75
Vincent Edwards;4,0;0,0;1,0;0,0;0,0;0,0;0,0
Vitto Brown;15,5;7,5;2,3;0,7;0,529;0,462;0,75
Vlatko Čančar;14,8;5,0;2,1;1,3;0,476;0,374;0,927
Vrenz Bleijenbergh;5,6;0,8;1,3;0,3;0,143;0,167;0,0
Vít Krejčí;5,7;1,2;0,9;0,6;0,405;0,238;0,5
Vít Krejčí;19,1;7,5;3,3;1,8;0,486;0,381;1,0
Walker Kessler;23,0;9,2;8,4;0,9;0,72;0,333;0,516
Wendell Carter Jr,;29,6;15,2;8,7;2,3;0,525;0,356;0,738
Wendell Moore Jr,;8,4;3,0;1,2;0,8;0,381;0,2;0,909
Wenyen Gabriel;15,1;5,5;4,2;0,5;0,596;0,278;0,619
Wesley Matthews;15,8;3,4;2,2;0,7;0,363;0,315;0,857
Will Barton;17,7;6,8;2,4;2,0;0,379;0,367;0,787
Willy Hernangomez;12,0;6,9;4,7;0,9;0,527;0,273;0,779
Xavier Cooks;12,6;3,8;3,8;0,6;0,607;0,0;0,4
Xavier Moon;14,7;4,7;3,0;2,7;0,378;0,364;0,444
Xavier Sneed;23,2;9,8;4,0;0,4;0,333;0,353;0,84
Xavier Sneed;12,1;4,3;1,3;1,3;0,5;0,5;1,0
Xavier Tillman;19,6;7,3;5,0;1,7;0,59;0,19;0,592
Yudai Baba;11,0;2,8;2,8;0,3;0,188;0,0;1,0
Yuta Watanabe;16,0;5,6;2,4;0,8;0,491;0,444;0,723
Yves Pons;6,8;1,7;1,3;0,0;0,333;0,0;0,5
Zach Collins;22,9;11,6;6,4;2,9;0,518;0,374;0,761
Zach Hankins;16,2;6,3;5,3;1,0;0,571;0,0;0,5
Zach LaVine;35,9;24,8;4,5;4,2;0,485;0,375;0,848
Zavier Simpson;22,6;8,2;4,2;6,2;0,357;0,286;0,6
Zeke Nnaji;13,7;5,2;2,6;0,3;0,561;0,262;0,645
Ziaire Williams;16,2;6,9;2,5;1,4;0,435;0,273;0,732
Zion Williamson;33,0;26,0;7,0;4,6;0,608;0,368;0,714
Zylan Cheatham;19,1;6,2;4,4;1,8;0,647;0,333;0,615
